Input Order,Gen Reference,Title,Description,Dates,Folder,Keywords,Notes
1041,906,Elections - Party Ballot Emblems,"""The Democratic Party's Official Ballot Emblems""",1996,,"Democtrat, Ballot Emblems, Politics",
1042,907,Jewish Historical Society of Delaware,"""A Guide to the Archives""","1997, 2003",,"Jewish, Historical Society",
1043,908,Profiles of Black Leaders in Delaware,"""Profiles of Black Leaders in Delaware""",1993,,"African Americans, Black, Leaders, PAAC",
868,780,Dorchester and Delaware Railroad,"Article ""New Railroad Inaugurated""",1867,,"Dorchester, Delaware Railroad, Transportation",
869,781,Whipping Post and Other Corporeal Punishment,"History, photo",,,"Whipping Post, Corporal Punishment, Penology",
870,782,New Castle Fire - 1869,"""Great Fire at New Castle, Del. - Nine Houses Burned - Loss $25,000""",1869,,New Castle Fire,
871,784,Wilmington and Reading Railroad,"Newspaper article, ""Baltimore American"", 12/6/1870.",1870,,"Railroad, Wilmington, Reading, Lehigh Valley",
872,785,Peach Growing in Delaware,"Song ""When it's Peach Picking Time in Delaware""",,1,Peach Industry,
873,786,The Academy of Newark,"Board of Trustees Minutes, June 5, 1783- June 24, 1952",1783-1825,1,"Newark Academy, Board of Trustees, University of Delaware",
874,786,The Academy of Newark,"Board of Trustees Minutes, June 5, 1783- June 24, 1952",1825-1895,2,"Newark Academy, Board of Trustees, University of Delaware",
875,786,The Academy of Newark,"Board of Trustees Minutes, June 5, 1783- June 24, 1952",1896-1952,3,"Newark Academy, Board of Trustees, University of Delaware",
876,787,Reverend Becker - Letters,,1865-1897,1,"Reverend Thomas A. Becker, Diocese of Wilmington",
877,787,Reverend Becker - Letters,,1865-1897,2,"Reverend Thomas A. Becker, Diocese of Wilmington",
878,788,Supreme Court Plaques,List of plaques located in the Supreme Court Building,,,"Supreme Building, Plaques",
879,789,Molton Rogers,Receipts of payment made by Hawkins for Bond,1810-1813,,"Molton Rogers, Thomas Hawkins",
880,790,Mordington,"Miscellaneous, contains a brief history",,,"Mordington, Milford Hundred",
881,791,State Letterhead Samples,State letterhead samples,,,State Letterhead,
882,792,Separation Day,"History, Caesar Rodney letters, invitation",,,"Separation Day, Caesar Rodney, New Castle",
883,793,"Sesquicentennial, Washington, D.C.",Washington Sesquicentennial Newsletter,1950,,"Washington, D. C., Sesquicentennial Newsletter",
884,794,Amish Farm and Home Directory,"""Farm and Home Directory of:  Dover, Delaware and St. Mary's County, Maryland,"" includes brief history of the Amish in Delaware and Southern Maryland",1970,,Amish,
885,794,Amish - Education,Articles,,,"Amish, Education",
886,796,Eleutherian Mills,"""History in houses, Eleutherian Mills in Greenville, Delaware""",1973,,"Eleutherian Mills, DuPont",
887,797,Growing of Peas in Delaware,"""Our Far-Flung Correspondents, Peas""",,,"Peas, Agriculture",
888,798,Goodstay,"""Goodstay Center of the University of Delaware""",,,"Goodstay Center, University of Delaware",
889,799,Sussex County,Information packet,,,Sussex County History,
890,800,Astrology,,,,Astrology,
891,801,Incorporated Towns,"""Where to Find Incorporated Town Charters.""  ""Special Events in Delaware Listed by Town.""",1973,,Town Charters,
892,802,Liberty Bell - Delaware,"""With Liberty Bells For All""",1976,1,Delaware Liberty Bells,
893,802,"Bicentennial Park, Capital Square, Dover",Information packet,1976,2,"Bicentennial Park, Capitol Square",
894,803,Space Suit … Space Man … HSD,"""Steps to the Moon""",,,"Moon, Space Man, Space Suit, Historical Society of Delaware",
895,804,Oaths of Office,"Assorted Officials- 1909, 1973; Governors- Listing 1897-2013",1897-2013,,"Oath of Office, Lieutenant Governor,  Chief Justice",
896,804,Governor's Inaugural Ceremonies,"Gov. Buck's Address, Ball invitation","1895, 1929",,"Inauguration, Governor, C. Douglass Buck",
897,804,Inauguration of Governor Robert P. Robinson,"Address, ball invitation",1925,,"Inauguration, Governor, Robert P. Robinson",
898,804,Inauguration of Governor Richard C. McMullen,"Address, letters",1937,,"Inauguration, Governor, Richard C. McMullen",
899,804,Inauguration of Governor Walter W. Bacon,"Newspaper articles, biography, invitations to address and ball",1941,,"Inauguration, Governor, Walter W. Bacon",
900,804,Inauguration of Governor J. Caleb Boggs,"Plans for ball, expense report, notes, invitations, letters, programs, photos, preceedings, guest lists, seating charts, maps",1953,,"Inauguration, Governor, J. Caleb Boggs",
901,804,Inauguration of Governor J. Caleb Boggs,"Plans for ball, expense report, notes, invitations, letters, programs, photos, preceedings, guest lists, seating charts, maps",1953,,"Inauguration, Governor, J. Caleb Boggs",
902,804,Inauguration of Governor J. Caleb Boggs,"Plans for ball, expense report, notes, invitations, letters, programs, photos, preceedings, guest lists, seating charts, maps",1953,,"Inauguration, Governor, J. Caleb Boggs",
903,804,Inauguration of Governor J. Caleb Boggs,"Plans for ball, expense report, notes, invitations, letters, programs, photos, preceedings, guest lists, seating charts, maps",1957,,"Inauguration, Governor, J. Caleb Boggs",
904,804,Inauguration of Governor David P. Buckson,"Newspaper articles, Oath of Office",1960,,"Inauguration, Governor, J. Caleb Boggs",
905,804,Inauguration of Governor Elbert N. Carvel,"Plans for address and ball, expense reports, notes, letters, invitations, programs, proceedings, guest lists, maps",1961,,"Inauguration, Governor, Elbert N. Carvel",
906,804,Inauguration of Governor Elbert N. Carvel,"Plans for address and ball, expense reports, notes, letters, invitations, programs, proceedings, guest lists, maps",1961,,"Inauguration, Governor, Elbert N. Carvel",
907,804,Inauguration of Governor Elbert N. Carvel,"Plans for address and ball, expense reports, notes, letters, invitations, programs, proceedings, guest lists, maps",1961,,"Inauguration, Governor, Elbert N. Carvel",
908,804,Inauguration of Governor Elbert N. Carvel,"Plans for address and ball, expense reports, notes, letters, invitations, programs, proceedings, guest lists, maps",1961,,"Inauguration, Governor, Elbert N. Carvel",
909,804,"Inauguration of Governor Charles L. Terry, Jr.","Plans for address and ball, expense reports, notes, letters, invitations, programs, proceedings, guest lists, maps",1965,,"Inauguration, Governor, Charles L. Terry",
910,804,"Inauguration of Governor Charles L. Terry, Jr.","Plans for address and ball, expense reports, notes, letters, invitations, programs, proceedings, guest lists, maps",1965,,"Inauguration, Governor, Charles L. Terry",
911,804,"Inauguration of Governor Charles L. Terry, Jr.","Plans for address and ball, expense reports, notes, letters, invitations, programs, proceedings, guest lists, maps",1965,,"Inauguration, Governor, Charles L. Terry",
912,804,Inauguration of Governor Russell W. Peterson,"Plans for address and ball, notes, letters, invitations, programs, proceedings",1969,,"Inauguration, Governor, Russell W. Peterson",
913,804,Inauguration of Governor Russell W. Peterson,"Plans for address and ball, notes, letters, invitations, programs, proceedings",1969,,"Inauguration, Governor, Russell W. Peterson",
914,804,Inauguration of Governor Sherman W. Tribbitt,"Plans for address and ball, letters, invitations, programs, speech",1973,,"Inauguration, Governor, Sherman W. Tribbitt",
915,804,Inauguration of Governor Pierre Samuel duPont,"Plans for address and ball, notes, letters, invitations, programs, proceedings, maps, invitations",1977,,"Inauguration, Governor, Pierre Samuel duPont",
916,804,Inauguration of Governor Pierre Samuel duPont,"Plans for address and ball, notes, letters, invitations, programs, proceedings, maps, invitations",1977,,"Inauguration, Governor, Pierre Samuel duPont",
917,804,Inauguration of Governor Pierre Samuel duPont,"Plans for address and ball, notes, letters, invitations, programs, proceedings, maps, invitations",1977,,"Inauguration, Governor, Pierre Samuel duPont",
918,804,Inauguration of Governor Pierre Samuel duPont,"Plans for address and ball, notes, letters, invitations, programs, proceedings, maps, invitations",1977,,"Inauguration, Governor, Pierre Samuel duPont",
919,804,Inauguration of Governor Michael N. Castle,"Programs, speech of William T. Quillen",1985,,"Inauguration, Governor, Michael N. Castle",
920,804,Inauguration of Governor Michael N. Castle,Programs,1989,,"Inauguration, Governor, Michael N. Castle",
921,804,Inauguration of Governor Thomas Carper,"Programs, invitations, speech, cabinet members, ball attendees, map",1993,,"Inauguration, Governor, Thomas Carper",
922,804,Inauguration of Governor Thomas Carper,"Programs, invitations, speech, cabinet members, ball attendees, map",1997,,"Inauguration, Governor, Thomas Carper",
923,804,Inauguration of Governor Thomas Carper,"Programs, invitations, speech, cabinet members, ball attendees, map",1997,,"Inauguration, Governor, Thomas Carper",
924,804,Inauguration of President Eisenhower (Delaware Delegation),Inauguration buttons,1957,,"Inauguration Buttons, President Eisenhower",Located in separate .22 box
925,804,Inauguration of Governor J. Caleb Boggs,Inauguration buttons,1957,,"Inauguration Buttons, Governor, J. Caleb Boggs",Located in separate .22 box
926,804,Inauguration of Governor Elbert N. Carvel,Inauguration buttons,1961,,"Inauguration Buttons, Governor, Elbert N. Carvel",Located in separate .22 box
927,805,Supreme Court Plaques Research,"List of Justices, time of appointment, source of information",1676-1894,1,Supreme Court Plaques,
928,805,Supreme Court Plaques Research,"List of Justices, time of appointment, source of information",1676-1894,2,Supreme Court Plaques,
929,805,Supreme Court Plaques Research,"List of Justices, time of appointment, source of information",1676-1894,3,Supreme Court Plaques,
930,805,Supreme Court Plaques Research,"List of Justices, time of appointment, source of information",1894-1959,4,Supreme Court Plaques,
931,805,Supreme Court Plaques Research,"List of Justices, time of appointment, source of information",1894-1959,5,Supreme Court Plaques,
932,805,Supreme Court Plaques Research,"List of Justices, time of appointment, source of information",1894-1959,6,Supreme Court Plaques,
933,805,Supreme Court Plaques Research,"List of Justices, time of appointment, source of information",1959-1968,7,Supreme Court Plaques,
934,805,Supreme Court Plaques Research,List of Members of the Bar,,8,Supreme Court Plaques,
935,805,Supreme Court Plaques Research,List of Members of the Bar,,9,Supreme Court Plaques,
936,806,Maryland Land Records,See Oversized Manuscript Box,,,Maryland Land Records,
937,807,Milford Grand Council of Royal Masters Certification of,See Oversized Manuscript Box,,,Milford Grand Council of Royal Masters,
938,808,Jobs For Delaware Graduates,"""Matching Jobs and Workers""",,,"Jobs, Graduates",
939,809,General Assembly,"Pamphlet, information packet",,,General Assembly,
940,810,Commemorative Stamps,"""Delaware on United States Postage,"" by John C. Graper, 2017.  See also Oversized Manuscript Box",,,Commemorative Stamps,Oversize
941,811,Theological Certificate for MacIlvaine,See Oversized Manuscript Box,,,Theological Certificate MacIlvaine,Oversize
942,812,Polling Places,"""Polling Places By Election District""",1999,,"Polling Places, Election Districts",
943,813,Doctors in World War II,"Delaware Medical Journal ""Special Commemorative Issue, 50th Anniversary of D-Day, June 6, 1944""  ""Gordon Keppel, Ranger Surgeon,"" Delaware History, Fall-Winter 1999-2000.",1994,,"World War II, WW II, Medical, Doctors",
944,814,Wedding Book,Wedding Book of William Oscar Hoffecker to Elizabeth Ross Parsons,1909,,"Wedding Book, William Oscar Hoffecker, Elizabeth Ross Parsons",
945,815,Milford School Desegregation,"Newspaper articles, correspondence, chronology,",1954-1956,1,"School Desegregation, Milford School Board",
946,816,Transportation - Aviation,"Magazine, letters, newsletter, pamphlet.  Souvenir of Flight with Holger Hoiriis, 1931",,1,"Transportation, Aviation, Bellanca, Delaplane",
947,817,Presidential Visits to Delaware,"Articles, press release, information packet",,,Presidential Visits,
948,818,Bethany Beach,"Advertisement to invest in the ""Stock in Bethany Beach Improvement Company""",,,Bethany Beach Improvement Company,
949,819,Nicholas and Alexandra Exhibit,"Program, tickets, grand opening invitation",1998,,"Nicholas and Alexandra Exhibit, Wilmington Water Front",
950,820,"""The Revolutionary Soldiers of Delaware""","""The Revolutionary Soldiers of Delaware"" by William G. Whiteley",1875,,"Revolutionary War, Soldiers, Military",
951,821,"""Murder in Sussex""","""Murder in Sussex"" by Constance Spencer",1998,,"Murder Case, Theodore Wilson, James Wiley",
952,822,Buena Vista,"""Bennett - Downes Estate""",1998,,"Bennett, Downes Estate, Buena Vista",
953,823,Adoptions,Laws and regulations regarding adoptions,1996,,Adoptions,
954,824,Ryves Holt House,"""Ryves Holt House:  Delaware's Oldest"" by Hazel Brittingham",,,"Ryves Holt House, Hazel Brittingham, Lewes",
955,825,Nutter's Neck,"""Nutter's Neck, On the Nanticoke River, Wicomico County, MD"" by David G. Nutter",1997,,"Nutter's Neck, Wicomico County, Nanticoke River",
956,826,Harrington,Brochure on Harrington's museum complex,,,Harrington Historical Society,
957,827,Delaware College and University Histories,"Histories of Goldy-Beacom College, Delaware State University and Wilmington College",,,"Goldey Beacom College, Delaware State University, Wilmington College",
958,828,Regnal Calendar,,,,Regnal Calendar,
959,829,Harlan & Hollingsworth Building,"""Chronology of the Harlan & Hollingsworth Building, Associates International and The Crafts Report""",,,"Harlan, Hollingsworth Building, Wilmington",
960,830,New York Historical Society,"""Papers Indexed in New York Historical Society""",,,New York Historical Society,
961,831,Dover Ice Plant,"History, floor plan and photo",1998,,"Dover Ice Plant, Industry",
962,832,Cameo Stamps,"Article, users of stamps",,,Cameo Stamps,
963,833,"""Only in Delaware""","""Only in Delaware"" by Celia Cohen",1996,,"Politics, Celia Cohen",
964,834,Underground Railroad,"Article, journal",,,Underground Railroad,
984,854,Civil War Diary of Daniel Woodall of the 1st Delaware Infantry,Transcriped version from the original diary.  (two copies),1863,,"Civil War, First Delaware Regiment, Military",
985,855,Benjamin Clendaniel Distillery,"Letters, liquor licenses, distillery survery",,,"Benjamin Clendaniel, Distillery, Cedar Creek Hundred, Industry",
986,856,Civil War Correspondence,"Letters of William T. Reynolds, Samuel P. Reynolds and William J. Reed",,,"Civil War, William Reynolds, Samuel Reynolds, William Reed, Fourth, Third Regiment",
987,857,Pension Certificate of Nehemiah  Dickerson,Photos of Nehemiah Dickerson's Civil War Pension Certificate,,,"Civil War Pension Certificate, Nehemiah Dickerson",
988,858,Letters to William Hall of Kent County,,1853-1858,,"William Hall, Milford",
989,859,Marriage Bonds,"Newspaper article ""Old Marriage License Bonds""",1893,,Marriage Bonds,
990,860,1792 State Constitutional Convention,Minutes,1792,,State Constitutional Convention,
991,861,"State of Delaware Financial Summary, Fiscal Year 1990",,1990,,"Financial Summary, State of Delaware",
992,862,Dover Plot,Plot of the intersection of State and Water Street,1993,,Dover Plot,
993,863,"Court Cases in the United States Circuit Court of Appeals, District of Delaware",Harold D. Wilson v. United States of America,1931-1932,,"United States Circuit Court of Appeals, Harold D. Wilson",
994,864,"Proceedings of the Convention of the Delaware State Held at New Castle on Tuesday the Twenty-Seventh of August, 1776",,1776,,State Constitutional Convention,
995,865,Wilmington Cemeteries,"""Cemeteries in Wilmington Area""",,,,
996,866,Instructions to the Assessors,,1849,,"Tax Assessments, Assessor, Indian River Hundred",
997,867,Alex Haley,Letter requesting stories for a new book,1986,,Alex Haley,
998,868,Priscilla Kitchen,"""Priscilla Kitchen, Delaware Ancestress and Her Family"" by George Valentine Massey II",,,"Priscilla Kitchen, George Valentine Massey II",
999,869,Brandywine News,Publication Brandywine News,1971-1975,,Brandywine News,
1000,870,World War II,"""First Interceptor Command Log Book""; ""War Didn't Dim Beach's Charm;"" ""Towers,"" coastal artillery fire control towers; ""U-boats off Delaware;""","1941, 2004",1,"World War II, WWII",
1001,871,United States Constitution - Sesquicentennial Commission,"Letters, programs",1937,,"U.S. Constitution, Sesquicentennial Commission",
1002,872,Dr. James Tilton,Correspondence concerning Dr. James Tilton,1972,,Dr. James Tilton,
1003,873,Schools- Slaughter Neck School in Cedar Creek Hd.,"Cedar Creek Hd, Slaughter Neck School 1916-1917 list of pupils",,,"Schools, Slaughter Neck School, Cedar Creek",
1004,874,Sussex County Well Sweep,"Newspaper Article ""Well Sweep Made From Crotched Tree, Thought to Be Last in Sussex, Is Doomed""",1958,,"Well Sweep, Sussex County, Samuel Walls",
1005,875,Kids Count In Delaware,"""Kids Count in Delaware, Fact Book 1997""",1997,,"Children, Statistics",
1016,885,Numeration & Money Conversion Tables,,1776,,Money Conversion Tables,
1017,886,St. George's United Methodist Church,Brief history,1996,,"St. George's United Methodist Church, Clarksville",
1018,887,Bell Family Reminiscences,"""I Visit Delaware"" by Mrs. Mary S. Handy",1880s,,"Bell Family, Mary S. Handy, Reminiscences",Removed from General Reference Biography
1019,888,"""The Three Signers""","""The Three Signers From Delaware"" by Henry C. Conrad",1897,,"Caesar Rodney, George Read, Thomas McKean",
1020,889,"""Biographical Sketches of Prominent Delawareans""",,1901,,Biographies,
1021,890,Deed between Aug Herman and Ephraim Augustine,,1722,,"Aug Herman, Ephraim Augustine, Cecil County, Maryland",
1022,891,Heverin Bible Records,"Bible, stock holders certificates",,,Heverin,
1023,892,Canby House and Family,"History, letters",,,Canby House,
1025,228,State Soil,Legislative resolution,,26,"State Soil, Greenwich Loam, Symbols",
1026,893,Margaret Moffett O'Neill Building,"Newspaper articles regarding the dedication of the building, includes the obituary of Margaret M. O'Neill",1976,,"Margaret O'Neill Building, Public, State House Annex",
1027,894,261st Coast Artillery Battalion,"""Delaware National Guard, World War II, 261st Coast Artillery Battalion"" by William H. Duncan, M.D.",2000,,"Delaware National Guard, World War, WWII, Coast Artillery Battalion, William Duncan",
1028,895,The History of Jacobs School,"""The History of Jacobs School"" by Virgil Cannon",2000,,"Jacobs School, Education, Virgil Cannon, Bridgeville, Historic Markers",
1029,896,Wilmington High School,"""Chronology of Wilmington High School""",,,"Wilmington High School, Education",
1030,897,Veterans Memorial Dedication,Dedication program for Veterans Memorial in Odessa,2000,,"Veterans Memorial, Odessa, Military",
1031,898,Korean War,Delaware Medical Journal articles including biographies on Delaware doctors who served in the Korean War,2000,1,"Veterans, Korean War, Military, Doctors",
1032,899,Delaware Memorial at Gettysburg,"""The Art of the Delaware Memorial at Gettysburg"" by W. Barksdale.  ""Mystic Chords of Memory, An Address by Ken Burns Delivered on April 29, 2000 At Gettysburg, Pennsylvania For the Dedication of the Delaware Memorial""",,,"Gettysburg, Memorial, Military, Civil War, Ken Burns",
1033,900,Presidential Visits - Clinton,"Miscellaneous newspaper clippings, speeches, and articles concerning President Clinton's visit to Delaware",1998,,"President, Clinton, Politics, Visit",In separate .27 box
1034,901,Delaware Center For Justice,Invitations and keynote address by former Governor Russell W. Peterson delivered at a luncheon celebrating the 80th anniversary of the Delaware Center for Justice.,2000,,"Delaware Center for Justice, Governor Russell W. Peterson",
1044,909,Government and Politics in Delaware,"""Government and Politics in Delaware: A Selected Guide to Information Sources"".  ""Forced Housing in Delaware?""",1990,,"Government, Politics, Public Administration, Fair Housing",
1045,910,Delaware Government,"""Delaware Government""","1991, 1999",,"Government, League of Women Voters",
1046,911,Claymont Then and Now,"""Claymont Then and Now""",1976,,Claymont,
1047,912,Peter Marsh's House,"""The Homestead: Peter Marsh's House""",1993,,"Peter Marsh, Rehoboth, Henlopen",
1048,913,The Story of a Book Wagon,"""The Story of a Book Wagon""",2000,,"Book Wagon, Libraries, Mary Burchenal",
1049,914,Agricultural Society of New Castle County,Pamphlets,1844-1845,,Agricultural Society of New Castle,
1050,915,"Delaware Becomes ""The First State""","""Delaware Becomes 'The First State""",1987,,"Delaware Day, Constitution, Anniversary",
1051,916,Our County Government,"""Our County Government""",1951,,"Clarence Taylor, Government, County, New Castle, Levy Court",
1052,804,Inauguration of Governor Ruth Ann Minner,"inauguration program, interfaith prayer service program","2001, 2005",,"inauguration, Governor, Ruth Ann Minner, John C. Carney",
1053,917,"Dediction of the New Delaware Public Archives - Dec. 7, 2000",Archives Delaware Day Dedication,2000,,Archives,
1056,920,"Smithers-Shakespear-Massey House, Dover","""The Story of 144 Kings Highway: A Slice of Delaware History,"" by Harold W. Hurst.",2001,,"Nathaniel Smithers, William M. Shakespeare, George V. Massey, Leason",
965,835,Odessa,"""History of Odessa Town Council."" Invitation and Program for showing the film, ""Thunder and Rain,"" 1975.",1975,,"Odessa Town Council, Bicentennial",
966,836,DelDot Archaeological Digs,,,,"DelDot, Archaeology, Lums Pond",
967,837,Lonely Hearts  Murder Case,Newspaper clippings,1976,,Lonely Hearts Murder Case,
968,838,"""Smaller. Quicker. Smarter for Business""",,,,Delaware Economic Development Office,
969,839,Theatre in Delaware,"""A History of Delaware Theatre"" by Elbert Chance",1961,,"Delaware Theatre, Elbert Chance",
970,840,Star Hill AME Church,"""Summary of Research, Star Hill AME Marker Project""",1993,,Star Hill AME Church,
971,841,New Sweden,"Map, magazine, pamphlet",,,New Sweden,
972,842,Eastburn - Jeanes Limekilns,Delaware Survey of the Eastburn-Jeanes Limekilns,1975,,"Limekilns, Pike Creek Valley, Jeanes, Eastburn",
973,843,Jamestown Ter-Centennial Exposition - Delaware Building,Article on the Delaware Building,,,"Delaware Building, Jamestown Ter-Centennial",
974,844,"Insurance Laws, 1901",State of Delaware Insurance Laws,1901,,"Insurance Laws, Delaware",
975,845,Thomas Massey House,"""The 1696 Thomas Massey House Restoration, A Progress Report 1968""",1968,,"Thomas Massey House,  Pennsylvania",
976,846,State House Symposiums,"History, pamphlet",1985-1986,,"State House Symposiums, Constitution, Ratification",
977,847,Hospitals,"Miscellaneous, includes a brief history of Emily P. Bissell Hospital",,,"Hospitals, Emily P. Bissell, Hope Farm, Tuberculosis",
978,848,Department of Health and Social Services,Newspaper articles,,,"Department, Health, Social Services",
979,849,Republican Party,Programs for meeting,,,"Republican Party, Politics",
980,850,135th General Assembly,"""135th General Assembly:  Government At Work For The People""",1990,,"General Assembly, Politics, Legislature",
981,851,African American Genealogy,Issue of AAGRI News,1995,,"African American, Genealogy",
982,852,Delaware Directory of Federal and State Agencies,,1942,,State Agency Directory,
983,853,Civil War Correspondence,Miscellaneous correspondence,,,"Civil War Correspondence, George Jump, Samuel Dill, George Ellis, John S. Matthews,",
1057,667,"Shipwrecks- ""USNS Mission San Francisco"" and the ""Elna II""","Marine Board of Investigation into a collision in the Delaware River on March 7, 1957",1957,3,"Delaware River, shipwrecks, tanker",
1058,921,"Kent County, Delaware Profile",Report by the Central Delaware Economic Development Council,1993,,"Statistics, Kent County, Economic Development Council",
1059,149,The Delaware Company at the Cowpens,"List of Delaware soldiers at the Revolutionary War battle at Cowpens, South Carolina",,,"Revolutionary War, Military",
1060,454,Delaware Legends,"""Delaware's Blue and Gray Ghosts""",ca. 2001,2,"Civil War, Ghosts, African-Americans, Wildcat Manor, Mordington, Patty Cannon, Woodburn, Abbott's Mill, Fort Delaware",
1061,149,Delaware Soldiers Buried in Pennsylvania,"List of Revolutionary War and Civil War veterans buried in St. Martin's Cemetery, Marcus Hook, Delaware County, PA.",,,"Revolutionary War, Civil War, Military",
1062,205,Underground Railroad,"U.S. Circuit Court records of trial of John Hunn (photocopies), 24 pages",1846-1850,3,"Underground Railroad, John Hunn",
1063,922,Lynching,"""Permission to Hate: Delaware, Lynching, and the Culture of Violence in America"" by Yohuru R. Williams.  Article on George White lynching, 1903, from ""The Week's Progress""","1903, 2001",,"lynching, George White, blacks, negroes, African-Americans",
1064,110,Poet Laureate,Civil List,"1947-2001, 2008",24,"civil lists, poet laureate",
1065,923,Teacher Contracts,"copy of Mabel Moffitt's teachers' contract amendent prohibiting her to marry, 1942; Lida May Ryan's contract, 1918","1918, 1942",,"teacher, Laurel, World War II",
1066,924,Ocean View,"Copy of correspondence from Orgain & Orr, Petersburg, VA to W. S. Hall, Halls Store (Ocean View), re: cotton lost overboard",1835,,"shipping, merchant",
1067,925,Laurel,"Narration for ""Laurel Cavalcade"" and correspondence for Laurel Sesqui-Centennial Commission, 1952; humorous letter to Sussex County Superintendent of Public Schools, 1912.  ""The 2004 Greater Laurel Comprehensive Plan,"" includes African-American history.",1912-1952,,"pageant, play, H. C. Lewis, African-American,",
1068,926,Lewes,"""An Early Episode in Lewes, 1671-1673"" by Judge Daniel Wolcott.",,,"burning of the Whorekill, Maryland, Lord Baltimore, Captain Thomas Howell",
1069,927,Houston,"""The Founding of Houston"" by R. H. Yerkes",1931,,"industries, churches, schools",
1070,928,Hartley,"origin of the name ""Butter Pot"" for Hartley",,,Hawkin's Corner,
1071,929,Felton,Abstracts of deeds pertinent to land and buildings in Felton,1723-1973,,,
1072,930,Governor's Awards for the Arts,invitations,2002,,,
1073,931,Dutilh Correspondence,"Four letters sent to Stephen Dutilh, a Philadelphia merchant.  Three letters from the US Customs Office, Wilmington relate to the issuance and payment of debentures (certificate issued by Customs to an importer for the deduction or refund of duties).  One of the three letters is signed by Allen McLane.  The fourth letter is from a business associate, John O'Conner, who returned from Santiage and Jamica and needed instruction on several business matters.",1802,,"McLane, Allen; US Customs House, Wilmington; Dutilh, Stephen",
1075,228,State Marine Animal,newspaper article on designation of horseshoe crab,2002,27,"State Symbols, horseshoe crab",
1076,472,Fort Delaware Prisoners,copies of 15 letters relating to Confederate prisoners at Fort Delaware,1864-1865,6,"Civil War, Fort Delaware, prisoner, Confederate, military",
1077,932,Regimental History:  198th Coast Artillery,Regimental History,1940-1944,1,"World War II, WW II, Military, Regimental History, 198th Coast Artillery",
1078,933,"September 11, 2001 terrorist attacks","September 11, 2002, Memorial Service Program.  The Bells of Remembrance Project.",2002,1,"World Trade Center, Pentagon, terrorist, airplane",
1079,934,Delaware Geography,"Delaware section copied from ""Harper's School Geography,"" 1887, and from ""Cram's Universal Atlas,"" 1898.  Includes information on geography, government, industry, history, and a map.","1887, 1898",1,"geography, map, government, industry, history",oversize box
1080,935,Berrytown,"history of Berrytown, near Felton",,1,"Berrytown, Felton",
1081,936,Greenwood,"history of Greenwood, Greenwood High School play program, commencement announcement (1954)",1954,1,Greenwood,
1082,656,"Public, Subscription and Community Schools","Lebanon High School Commencement Invitations and name cards, 1918-1919","1918, 1919",2,"school, education, Lebanon",
1083,656,"Public, Subscription and Community Schools","List of Students at Kent County School District #27 and 122 (Lebanon-Rising Sun), 1909, Report card, 1914","1909, 1914",3,"school, education, Lebanon, Rising Sun",
1084,937,Latrobe Survey,New Castle's Dutch Tile House of 1687:  Fraud or Genuine?,2001,1,latrobe survey,
1085,938,Diploma - Florence Isaacs,"Diploma was for Florence Isaacs, Bridgeville High School, who became a teacher in a one-room school in Sussex County.",1919,,,oversize
1086,48,"Delaware State Constitution, 1897","Centennial celebration program, invitation, news clipping",1997,b-4,,
1087,668,Lighthouses - Kent County - Port Mahon,"Articles, research notes, 1835 document, copies of documents and photographs relating to the Port Mahon Lighthouse",,2,"Lighthouse, Navigation, Port Mahon",
1089,943,Ancient Order United Workmen,"Diamond Lodge, No. 9, announcement of concert at Dover Opera House.",ca. 1913,,"A. O. U. W., Dover Opera House, Ancient Order United Workmen",
1090,667,Shipwrecks- Within the Delaware Bay,"Pamphlet entitled ""Cases of Shipwreck, Loss, and Disaster within the Bay of Delaware"".  Doc. No. 26",1826,4,"Delaware Bay, shipwrecks, Breakwater",
1093,942,School Integration,"""The Schools That Broke the Color Line,"" Redbook Magazine, October 1954.  ""From a duPont School to an integrated school,"" DSEA Action newsletter article, 2004.  Letter from Lord Baltimore Lions Club to Representative Charles W. Bostick, relating to bills affecting school integration, 1955.","1954, 2004",1,"integration, Claymont High School, Hockessin School, Arden Elementary School, Sarah Bulah,",
1094,656,"Public, Subscription and Community Schools","Dover High School Commencement Program (2), 1908; Commencement Invitation, 1911; Dover Public Schools Reports Cards (7), 1902-1908.",1902-1908,4,"school, education, Dover, Dover Opera House",
1095,656,"Public, Subscription and Community Schools","Wilmington Public Schools: City Committee on Public Schools Platform, 1919; Certificates of Perfect Attendance (7), 1888, 1890-1892; report cards (2), 1894-1895;","1888-1895, 1919",5,"school, education, reform, Wilmington",
1096,656,"Public, Subscription and Community Schools",Goldey College Report Cards,1906-1907,6,"Goldey College, education, Wilmington",
1097,110,Department of Agriculture,Civil List of Secretaries of the State Board of Agriculture and Department of Agriculture,1899-1969,25,"Civil list, agriculture",
1834,75,New Sweden,"365th Jubilee celebration booklets, invitations, program, menu, print and greeting from Crown Princess Victoria, 2 Swedes in America pins",2003,2,"New Sweden, Colonial, Anniversary",
1809,944,Historical Society of Delaware,"A checklist of Imprints in the Collection of the Historical Society of Delaware, 1938; Shelf List of Manuscript Books, 1944; Manuscripts from Mrs. Caleb E. Layton to The Historical Society of Delaware, 1946; Delaware Newspapers at HSD;",1938-1946,,Imprints,
